Neighborhood,Borough,Latitude,Longitude,NumberOfStores,NumberOfCrimes,Area
Borough Park,Brooklyn,40.6289340341223,-73.98739178595373,7,929,5.400501904795839
Murray Hill,Queens,40.7679192777286,-73.8087194233923,12,408,5.2488277845962505
East Elmhurst,Queens,40.76289368958397,-73.86754657464505,1,453,1.9726946069183402
Hollis,Queens,40.710679310167286,-73.76185059440054,7,344,2.2887772865219103
Homecrest,Brooklyn,40.59970675886781,-73.96399083559444,4,684,2.99919672829895
Fresh Meadows-Utopia,Queens,40.734864866174995,-73.78385369571913,11,260,2.77748534173584
St. Albans,Queens,40.6921217360122,-73.76461962513478,12,1061,7.741276389414979
Jamaica Estates-Holliswood,Queens,40.720876411334714,-73.77476968432092,11,382,4.27899758460541
Madison,Brooklyn,40.60539115342631,-73.94708613284712,14,483,2.73791620824585
Kensington-Ocean Parkway,Brooklyn,40.640773038815226,-73.97696528720994,5,342,1.58933049555817
Erasmus,Brooklyn,40.64699212939266,-73.95110450811849,4,1149,1.4522603591568
Longwood,Bronx,40.81990873187307,-73.89863545512412,3,985,1.07324521793823
Clinton Hill,Brooklyn,40.68849111242711,-73.9616428412811,6,1067,2.05282229315186
Jamaica,Queens,40.704773503252106,-73.79188832663503,23,2074,4.730803654518129
South Jamaica,Queens,40.693570902838296,-73.79195929913648,4,1023,3.99719288946533
Pelham Bay-Country Club-City Island,Bronx,40.84780295311618,-73.79596979812695,7,430,4.0134427170517
Cambria Heights,Queens,40.69445657739658,-73.7363048518414,7,328,3.30767978490906
Midwood,Brooklyn,40.62125669334047,-73.95739977247507,9,541,3.5799574385009802
Gravesend,Brooklyn,40.58799600515402,-73.98575518762988,4,582,3.134185141539
Bensonhurst East,Brooklyn,40.599437143926934,-73.98605278916315,14,634,3.5777868946731597
Williamsburg,Brooklyn,40.70371707841931,-73.9581085589862,0,299,1.15899881364899
Bedford,Brooklyn,40.69192970499071,-73.95071810778865,6,2458,3.26297889770508
Stuyvesant Heights,Brooklyn,40.68724742795927,-73.93095300594305,12,2245,3.14069358462677
Ocean Hill,Brooklyn,40.676943749597285,-73.91378587408799,5,1299,2.0089914374527
Crown Heights North,Brooklyn,40.6747727893427,-73.94092479646228,17,3631,5.16190747031555
Crown Heights South,Brooklyn,40.666291577201136,-73.94673992547139,3,898,1.5989888788162199
Rugby-Remsen Village,Brooklyn,40.65279321628748,-73.92278523206451,8,1162,3.27069462815094
Allerton-Pelham Gardens,Bronx,40.864469800920006,-73.84692688928088,7,564,3.16930096642609
Starrett City,Brooklyn,40.64695501521607,-73.88269289608586,5,209,1.15989891493835
East Flatbush-Farragut,Brooklyn,40.64476314377285,-73.93821333998133,6,925,3.4360864271163902
Bushwick South,Brooklyn,40.696421909638744,-73.92520009317427,11,2182,4.0169477551528905
Bushwick North,Brooklyn,40.699903975122076,-73.91688869019214,13,1465,2.4927981404525803
Ridgewood,Queens,40.70718724882594,-73.9019591291804,17,1528,5.0495189306488
Ocean Parkway South,Brooklyn,40.61743642681558,-73.9709422753824,4,201,1.77820957563477
Fort Greene,Brooklyn,40.690841268916415,-73.97540209487595,5,1086,1.64828215609894
Queensbridge-Ravenswood-Long Island City,Queens,40.75917095399575,-73.93746701723748,1,816,2.33170329692841
West Farms-Bronx River,Bronx,40.83404756346974,-73.87282728054653,1,804,1.50849694428864
Parkchester,Bronx,40.837708789951726,-73.85805873117017,12,456,0.9184677099563601
Soundview-Bruckner,Bronx,40.82774023161575,-73.87034480141094,6,964,1.6253358282608001
Glendale,Queens,40.70233003405697,-73.87721133959379,14,446,3.00167691935272
Van Cortlandt Village,Bronx,40.87588282612109,-73.8955414634652,2,917,2.56660443599701
Pomonok-Flushing Heights-Hillcrest,Queens,40.72789415314936,-73.80345281528213,14,639,3.88359566579132
Clinton,Manhattan,40.765751479514755,-73.99565197361865,10,1539,1.8362148818100001
Queens Village,Queens,40.714021811659535,-73.74257438397062,22,1222,6.95334328234863
Bellerose,Queens,40.73541269099304,-73.72722208476645,11,297,5.518433215794371
Middle Village,Queens,40.7172833961868,-73.88342869411427,9,450,5.7684858173706095
Elmhurst,Queens,40.73845608577241,-73.87925570445232,10,1598,3.26753476463013
Laurelton,Queens,40.676401120598634,-73.74445566258653,12,447,3.9784908036499003
Woodlawn-Wakefield,Bronx,40.89871969681396,-73.85457585044298,18,816,3.9738810527771005
Bronxdale,Bronx,40.8639157687772,-73.86473047399005,7,817,1.5185614825393698
East New York (Pennsylvania Ave),Brooklyn,40.666693501248936,-73.89430788582884,6,1123,1.93975266852417
South Ozone Park,Queens,40.67685004066544,-73.82016048503435,21,1525,8.24613935557861
Bath Beach,Brooklyn,40.60405561149036,-74.00725795343162,7,520,2.05350070575256
Bensonhurst West,Brooklyn,40.60981012875263,-73.99585658643666,19,1054,4.66705695071564
Maspeth,Queens,40.721710160858905,-73.90458259147927,9,399,3.56331209780884
Elmhurst-Maspeth,Queens,40.7381127886434,-73.89209028098414,5,385,2.19277112552795
College Point,Queens,40.78319790825715,-73.84503721979604,17,417,5.05540036605682
Rikers Island,Bronx,40.791663461598645,-73.88291045271467,0,140,1.81639639882202
Arden Heights,Staten Island,40.55271317401323,-74.18828428188125,2,193,5.04109860778275
North Side-South Side,Brooklyn,40.7147497704441,-73.95792323589315,16,1307,2.88697681523285
Brownsville,Brooklyn,40.66353873299482,-73.91072934089148,7,2553,3.27193658740234
Schuylerville-Throgs Neck-Edgewater Park,Bronx,40.8208263537745,-73.81748794465317,12,993,8.844088928274541
Richmond Hill,Queens,40.694020290457495,-73.83088683359524,15,1527,5.0978402422348
Annadale-Huguenot-Prince's Bay-Eltingville,Staten Island,40.527660950787585,-74.19010262905361,5,266,14.105902542305
Battery Park City-Lower Manhattan,Manhattan,40.705532228916375,-74.00801802446946,9,962,1.9014258922821001
Lincoln Square,Manhattan,40.77522070350834,-73.9861583865861,11,1014,1.58055234621887
Midtown-Midtown South,Manhattan,40.75495456392374,-73.98349426397104,8,3780,3.01915663970032
